speaker,sex,age,res,edu,file,speech_rate,word,phone,previous,following,phone_start,phone_end
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,还是,sh,ai2,ii4,9.477925302811574,9.637968580005007
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,只是,ii3,zh,sh,55.2670653984338,55.36972253367278
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,晚上,ng,a4,uo3,14.992329264678583,15.0354992813813
ma_4336,F,25,Canto,14,Canto_ma_4336,6.183541258460259,办法,a4,b,n,29.862883798314673,29.92457158042326
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,一些,ie1,x,<SIL>,58.63652360049877,59.07280940216835
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,我,uo3,n,b,20.245735189024636,20.373754336910146
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,那天,n,ia1,n,3.847760045060536,3.8786130110708457
ma_4336,F,25,Canto,14,Canto_ma_4336,5.427809267966177,那个,ei4,n,g,9.821362970866893,9.900313174454398
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,当天,n,ia1,ua3,14.697076717465327,14.752084243944596
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,没有,iou3,ei2,iao4,44.0302880713219,44.09008463605507
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,的,d,a1,e5,17.595890300948156,17.636875844373407
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,不是,sh,u2,ii4,49.006237784737785,49.01737650160641
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,要,iao4,iou3,zh,44.09008463605507,44.28677933431061
ma_4336,F,25,Canto,14,Canto_ma_4336,4.142088244320759,不去,q,u2,v4,27.294535033181376,27.417603954699064
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,男的,e5,d,iao4,57.774464770513426,57.84568760928225
ma_4336,F,25,Canto,14,Canto_ma_4336,4.709312008482817,可能,e2,n,ng,56.8143707909505,56.968955977893806
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,找,zh,iao4,ao3,35.07710394080392,35.1954147329551
ma_4336,F,25,Canto,14,Canto_ma_4336,5.946638717651713,讲,j,i3,ia3,20.732227363580883,20.840909734295
ma_4336,F,25,Canto,14,Canto_ma_4336,4.65064615411055,知道,zh,<SIL>,ii1,0.8964794138905918,0.9112545085421218
ma_4336,F,25,Canto,14,Canto_ma_4336,6.179052601898325,这个,e4,g,l,46.13802785577186,46.16548227743328
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,没有,m,ng,ei2,43.925679083515256,43.95050895835163
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,但是,sh,n,ii4,42.50097259861316,42.5144481323999
ma_4336,F,25,Canto,14,Canto_ma_4336,6.0507664206963785,你,n,<SIL>,i3,34.715269579773896,34.73665780899482
ma_4336,F,25,Canto,14,Canto_ma_4336,5.958184195126839,那天,ei4,n,t,3.492925744941374,3.593504786797446
ma_4336,F,25,Canto,14,Canto_ma_4336,5.592533288367158,晚上,sh,n,a4,14.85067285714848,14.930522046940162
ma_4336,F,25,Canto,14,Canto_ma_4336,7.177837966664349,她,t,<SIL>,a1,40.97130253764445,41.02564979361476
